id,index,center,device_loc,petal_id,x,y,z,q,s,t,pinhole1,pinhole2,pinhole3,pinhole4
3075,P083,"{'z': -2.774570324999999, 'y': 41.179510215, 'x': 152.97929915999998}",75,3,152.97929915999998,41.179510215,-2.774570324999999,15.06596530609402,158.45806742036618,-0.11391442416797827,"{'z': -2.76332976, 'error': -0.0012748789147990001, 'y': 40.62703194, 'x': 152.47424374000002}","{'z': -2.80234642, 'error': -0.0021683547668330003, 'y': 40.93105456, 'x': 154.04510198}","{'z': -2.7651832, 'error': 0.00015495743780300002, 'y': 41.805965220000004, 'x': 152.2508019}","{'z': -2.76742192, 'error': -0.007855393425286001, 'y': 41.353989139999996, 'x': 153.14704902}"
3150,P100,"{'z': -6.539233135, 'y': 14.02186476, 'x': 241.62666671499997}",150,3,241.62666671499997,14.02186476,-6.539233135,3.321213099091813,242.15436437430233,-0.1382452396069585,"{'z': -6.5281327000000005, 'error': 0.00045780035757800005, 'y': 13.308517079999998, 'x': 241.39418296}","{'z': -6.588876600000001, 'error': -0.001763363051011, 'y': 14.23306436, 'x': 242.7000979}","{'z': -6.50044344, 'error': 0.0050339111530700005, 'y': 14.28802386, 'x': 240.69914491999998}","{'z': -6.5394798, 'error': 0.0013682163683780002, 'y': 14.257853740000002, 'x': 241.71324108}"
3534,P116,"{'z': -18.86918819, 'y': 176.87083576499998, 'x': 367.77945567}",534,3,367.77945567,176.87083576499998,-18.86918819,25.683621854135147,408.6984172029603,-0.12927110099978822,"{'z': -18.94413808, 'error': -0.00040819565007800003, 'y': 177.50830346000004, 'x': 368.16643812}","{'z': -18.766602139999996, 'error': -0.00012026300400100001, 'y': 176.91517868, 'x': 366.68838482}","{'z': -18.93124536, 'error': -0.001157026753131, 'y': 176.40053731999998, 'x': 368.6135366}","{'z': -18.83476718, 'error': 0.000639701021607, 'y': 176.65932360000002, 'x': 367.64946313999997}"
3439,P121,"{'z': -18.997904395, 'y': 14.305453839999998, 'x': 409.177041685}",439,3,409.177041685,14.305453839999998,-18.997904395,2.002332336593558,410.03248587376765,-0.127270857070851,"{'z': -18.93288328, 'error': 6.837888464328312e-05, 'y': 14.706377380000001, 'x': 408.54657746}","{'z': -18.98988358, 'error': 0.001035707520733, 'y': 13.209456, 'x': 409.11233296}","{'z': -19.05772948, 'error': 0.0009202460288870001, 'y': 15.133436320000001, 'x': 409.66240698}","{'z': -19.01112124, 'error': -0.001286266162782, 'y': 14.172545659999997, 'x': 409.38684933999997}"
3541,P359,"{'z': -14.743447455, 'y': 207.26336747500002, 'x': 295.332581765}",541,3,295.332581765,207.26336747500002,-14.743447455,35.06104308370152,361.2185478002072,-0.2777941241424368,"{'z': -14.6880291, 'error': 0.00019983737600100002, 'y': 206.52725167999998, 'x': 295.19949492}","{'z': -14.85506338, 'error': 0.0014919823387580002, 'y': 207.60885728000002, 'x': 296.36923196}","{'z': -14.68230466, 'error': 0.0014646939041640002, 'y': 207.40927498000002, 'x': 294.38351198}","{'z': -14.74839268, 'error': -0.001037296412894, 'y': 207.50808596000002, 'x': 295.3780882}"
3542,P669,"{'z': -19.27535677, 'y': 202.52555155500002, 'x': 356.800498735}",542,3,356.800498735,202.52555155500002,-19.27535677,29.57992288424948,410.90187046446005,-0.3202746898505555,"{'z': -19.2150353, 'error': 0.0026050448710250003, 'y': 201.87304344, 'x': 356.43055506}","{'z': -19.363428799999998, 'error': 8.92673936148114e-06, 'y': 202.50482214, 'x': 357.89366972000005}","{'z': -19.23548636, 'error': 0.001605510952384, 'y': 202.9811842, 'x': 355.95383402}","{'z': -19.28747662, 'error': 0.00047069627603600004, 'y': 202.74315643999998, 'x': 356.92393614}"
75,P011,"{'x': 152.90321075, 'z': -2.7371585400000003, 'y': 41.32673271}",75,4,152.90321075,41.32673271,-2.7371585400000003,-92.87545469350039,158.4219942736619,-0.07774629019569984,"{'x': 152.17923218, 'error': 0.000316702757002, 'z': -2.73044028, 'y': 41.13017484}","{'x': 153.66554444, 'error': -8.392158957115649e-05, 'z': -2.76179524, 'y': 40.53854118}","{'x': 152.62333628000002, 'error': 0.0012995098027010002, 'z': -2.750057499999999, 'y': 42.24702992}","{'x': 153.1447301, 'error': 0.00186383893481, 'z': -2.7063411399999993, 'y': 41.3911849}"
150,P019,"{'x': 241.30180638499996, 'z': -6.49245531, 'y': 14.24133763}",150,4,241.30180638499996,14.24133763,-6.49245531,-104.62239114634346,241.84114249596132,-0.10843836398184023,"{'x': 240.57452138, 'error': 0.0017574382757340001, 'z': -6.468648400000001, 'y': 14.05297984}","{'x': 242.05841884, 'error': 0.002021436937597, 'z': -6.52596054, 'y': 13.44506926}","{'x': 241.02879223999997, 'error': 0.0008331547841250001, 'z': -6.492693919999999, 'y': 15.163297080000001}","{'x': 241.54549308, 'error': 0.0018115653422010002, 'z': -6.48251838, 'y': 14.30400434}"
439,P043,"{'x': 409.5810925, 'z': -18.996194414999998, 'y': 14.1997572}",439,4,409.5810925,14.1997572,-18.996194414999998,-106.0144092405311,410.4303200033304,-0.08624915340914822,"{'x': 410.3263092, 'error': 0.001037930618871, 'z': -19.08722, 'y': 14.18319856}","{'x': 409.07304454, 'error': -0.000700566587401, 'z': -18.9448229, 'y': 15.16975794}","{'x': 409.59272985999996, 'error': -0.001224226301447, 'z': -18.992180400000002, 'y': 13.240360399999997}","{'x': 409.3322864, 'error': 0.0014162830242210002, 'z': -18.960554359999996, 'y': 14.2057119}"
482,P079,"{'x': 404.0590454, 'z': -18.86651247, 'y': 59.58308056999999}",482,4,404.0590454,59.58308056999999,-18.86651247,-99.61154195768616,409.0256688263376,-0.09440230455149971,"{'x': 403.79689736000006, 'error': 0.00014997624456, 'z': -18.850503579999998, 'y': 60.28564521999999}","{'x': 403.35069434, 'error': -0.001641772528097, 'z': -18.77592004, 'y': 58.75264552}","{'x': 404.94223506, 'error': 0.001071777390733, 'z': -18.97919554, 'y': 59.946788559999995}","{'x': 404.14635484, 'error': 0.001553761357655, 'z': -18.86043072, 'y': 59.34724298}"
496,P080,"{'x': 330.79714022999997, 'z': -16.13559772, 'y': 185.510827275}",496,4,330.79714022999997,185.510827275,-16.13559772,-78.71631920128797,379.7318197810751,-0.08875581333163432,"{'x': 330.78948304000005, 'error': 0.000993159162734, 'z': -16.09504796, 'y': 184.7610689}","{'x': 331.75955910000005, 'error': 0.001427893894515, 'z': -16.254327699999997, 'y': 186.02655712}","{'x': 329.83958862, 'error': -0.00031816958948, 'z': -16.06336422, 'y': 185.49631879999998}","{'x': 330.79993016, 'error': -0.001376207810807, 'z': -16.129651000000003, 'y': 185.75936428}"
542,P081,"{'x': 357.10864086000004, 'z': -19.322429355, 'y': 202.828934555}",542,4,357.10864086000004,202.828934555,-19.322429355,-78.40448925504943,411.32234328243027,-0.3259470919657666,"{'x': 356.56952388, 'error': 0.000239097516093, 'z': -19.30996078, 'y': 203.35038070000002}","{'x': 356.82900362000004, 'error': 0.00010058300625900001, 'z': -19.234794739999998, 'y': 201.77179999999998}","{'x': 357.74778935999996, 'error': 0.00034231594873000004, 'z': -19.43406316, 'y': 203.53789818}","{'x': 357.28824657999996, 'error': -0.000169117456902, 'z': -19.31089874, 'y': 202.65565934}"
321,P087,"{'x': 303.94226498, 'z': -11.154336015, 'y': 86.21567796500001}",321,4,303.94226498,86.21567796500001,-11.154336015,-92.16358383974047,316.20237352795453,-0.1295273933334471,"{'x': 303.59074642, 'error': 1.440472703295725e-05, 'z': -11.11969222, 'y': 85.55415992}","{'x': 305.03596654, 'error': 0.00026309116035600004, 'z': -11.23974664, 'y': 86.23267123999999}","{'x': 303.0822399, 'error': -0.000629932517785, 'z': -11.111637980000001, 'y': 86.64025808000001}","{'x': 304.06010705999995, 'error': -0.000345213275348, 'z': -11.146267220000002, 'y': 86.43562262}"
534,P103,"{'x': 368.00165456, 'z': -18.848379915, 'y': 176.74594138999998}",534,4,368.00165456,176.74594138999998,-18.848379915,-82.34569037158346,408.8416905479308,-0.09426861915527943,"{'x': 368.71165172, 'error': -0.00412088984475, 'z': -18.9406768, 'y': 176.95467997999998}","{'x': 367.22065153999995, 'error': 0.008029268974456001, 'z': -18.806292919999997, 'y': 177.52641025999998}","{'x': 368.31950778, 'error': 0.017228919595661002, 'z': -18.8337331, 'y': 175.82122534}","{'x': 367.7548072000001, 'error': 0.007599482542542, 'z': -18.81281684, 'y': 176.68144998}"
541,P114,"{'x': 295.028863215, 'z': -14.647015289999999, 'y': 207.25554332000002}",541,4,295.028863215,207.25554332000002,-14.647015289999999,-72.91224918409462,360.95861401087393,-0.20257938238598297,"{'x': 294.29491586, 'error': 5.426631205551758e-05, 'z': -14.608752319999999, 'y': 207.40483708000002}","{'x': 295.36058116000004, 'error': 0.0009668981819820001, 'z': -14.60754158, 'y': 206.20973418000003}","{'x': 295.1867222, 'error': 0.0018268193049700001, 'z': -14.727957360000001, 'y': 208.20158074}","{'x': 295.27323364, 'error': -0.0006416001304660001, 'z': -14.643809899999999, 'y': 207.20602128000002}"
