device_id,device_type,petal_id,bus_id,can_id,petal_loc,device_loc,fvc_id,slit_id,slitblock_id,blockfiber_id,spectro_id,obs_x,obs_y,obs_x_px,obs_y_px,matched_00,fvc_x_00,fvc_y_00,err_px_00,matched_01,fvc_x_01,fvc_y_01,err_px_01,matched_02,fvc_x_02,fvc_y_02,err_px_02,matched_10,fvc_x_10,fvc_y_10,err_px_10,matched_11,fvc_x_11,fvc_y_11,err_px_11,matched_12,fvc_x_12,fvc_y_12,err_px_12,matched_20,fvc_x_20,fvc_y_20,err_px_20,matched_21,fvc_x_21,fvc_y_21,err_px_21,matched_22,fvc_x_22,fvc_y_22,err_px_22,matched_30,fvc_x_30,fvc_y_30,err_px_30,matched_31,fvc_x_31,fvc_y_31,err_px_31,matched_32,fvc_x_32,fvc_y_32,err_px_32,matched_40,fvc_x_40,fvc_y_40,err_px_40,matched_41,fvc_x_41,fvc_y_41,err_px_41,matched_42,fvc_x_42,fvc_y_42,err_px_42,matched_50,fvc_x_50,fvc_y_50,err_px_50,matched_51,fvc_x_51,fvc_y_51,err_px_51,matched_52,fvc_x_52,fvc_y_52,err_px_52,matched_60,fvc_x_60,fvc_y_60,err_px_60,matched_61,fvc_x_61,fvc_y_61,err_px_61,matched_62,fvc_x_62,fvc_y_62,err_px_62,matched_70,fvc_x_70,fvc_y_70,err_px_70,matched_71,fvc_x_71,fvc_y_71,err_px_71,matched_72,fvc_x_72,fvc_y_72,err_px_72,matched_80,fvc_x_80,fvc_y_80,err_px_80,matched_81,fvc_x_81,fvc_y_81,err_px_81,matched_82,fvc_x_82,fvc_y_82,err_px_82,matched_90,fvc_x_90,fvc_y_90,err_px_90,matched_91,fvc_x_91,fvc_y_91,err_px_91,matched_92,fvc_x_92,fvc_y_92,err_px_92
M00795,POS,11.0,14.0,795.0,6.0,365.0,11365.0,4.0,B06,F05,,-219.71882351864474,251.13009982300255,4382.391482232276,4618.102840916686,True,4378.108,4611.6,7.786858161154442,True,4378.113,4611.587,0.013928388277148597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4374.055,4611.045,10.922914190557709,True,4384.814,4610.802,7.692260423678889,True,4380.708,4601.12,10.516670575804943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00934,POS,11.0,23.0,934.0,6.0,212.0,11212.0,4.0,B10,F03,,-137.98732180304773,234.80696642852675,3868.3003364411707,4515.430331865433,True,3864.336,4521.581,7.317559833740766,True,3864.321,4521.579000000001,0.015132745950228992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3860.383,4521.027,9.695716091716548,True,3859.559,4510.259,10.799481469033594,True,3849.795,4515.254,10.967484716196386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00936,POS,7.0,14.0,936.0,8.0,450.0,7450.0,5.0,B11,F23,,-355.01000290171993,-123.21045696869282,5233.373000551819,2263.500738696922,True,5237.013,2270.376,7.779383906734697,True,5237.043,2270.37,0.030594117081368354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5232.979,2269.929,6.440324511659829,True,5226.928,2275.828,8.450609563812739,True,5235.802,2282.645,11.190145888235618,,,,,,,,,,,,
M00946,POS,9.0,14.0,946.0,9.0,432.0,9432.0,8.0,B17,F03,,-170.9279144157781,-318.3004562147534,4075.4966639752447,1036.3846434392008,True,4076.558,1035.122,1.649455247043684,True,4076.531,1035.112,0.02879236009781372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4075.7009999999996,1035.465,0.9420707331606244,True,4083.2340000000004,1043.715,11.171776447817608,True,4087.9190000000003,1033.856,10.915544237462372
M00956,POS,9.0,13.0,956.0,9.0,109.0,9109.0,8.0,B06,F00,,-91.42166499313275,-167.50357721052725,3575.4023551068053,1984.8970123757833,True,3563.7140000000004,1975.2820000000002,15.134930065554858,True,3563.7270000000003,1975.267,0.019849433241302394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3563.158,1975.299,15.557829975521726,True,3570.511,1966.149,11.73836057548083,True,3559.197,1963.1,11.717636152398507
M01001,POS,7.0,15.0,1001.0,8.0,361.0,7361.0,5.0,B11,F19,,-332.63844808970373,-95.79092998818994,5092.6559207842365,2435.969563404285,True,5082.662,2441.834,11.587496244950765,True,5082.666,2441.814,0.020396078054334753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5078.63,2441.327,15.01427922754812,True,5078.556,2430.653,10.674256508066936,True,5070.623,2438.2889999999998,11.01094841510028,,,,,,,,,,,,
M01020,POS,8.0,12.0,1020.0,4.0,169.0,8169.0,1.0,B15,F00,,147.88133939287462,184.59034543931307,2070.1864575188188,4199.567785843279,True,2068.153,4206.599,7.319352566895225,True,2068.192,4206.571,0.048010415536949846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2068.098,4206.56,7.2974456915666215,True,2065.391,4195.960999999999,6.000443061481234,True,2053.596,4200.827,12.759309581635302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01023,POS,6.0,12.0,1023.0,2.0,124.0,6124.0,6.0,B00,F15,,191.7034776169101,-132.20394736417205,1794.5452080896355,2206.931684109358,True,1794.533,2199.939,6.992694766019706,True,1794.557,2199.937,0.024083189157694862,,,,,,,,,,,,,,,,,True,1794.719,2199.605,7.328745026702978,True,1788.457,2190.377,11.152068328341631,True,1782.205,2199.344,10.931358241316767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01028,POS,11.0,14.0,1028.0,6.0,511.0,11511.0,4.0,B00,F14,,-283.59337435091453,270.6124703180434,4784.1624069672525,4740.646951330493,True,4774.141,4739.416,10.096724160902232,True,4774.148,4739.403,0.014764823060407849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4769.973,4738.811,14.3076897985054,True,4777.2429999999995,4730.772,10.838746283587842,True,4768.102,4727.866,9.591804678995127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01033,POS,7.0,23.0,1033.0,8.0,244.0,7244.0,5.0,B14,F04,,-296.77128433264124,-50.14305632162497,4867.051460752314,2723.094688766979,True,4866.705,2730.469,7.382445476558342,True,4866.706,2730.426,0.043011626335337894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4862.718,2729.849,8.024936281638784,True,4854.840999999999,2728.8179999999998,7.944185924310133,True,4858.275,2739.51,11.229925200107578,,,,,,,,,,,,
M01042,POS,11.0,14.0,1042.0,6.0,512.0,11512.0,4.0,B01,F21,,-290.5705076751731,263.02344871185085,4828.048575576839,4692.912005427542,True,4818.372,4688.012,10.846481829801112,True,4818.369000000001,4688.0,0.01236931687650534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4814.22,4687.415,14.88108098072028,True,4806.789000000001,4695.755,11.170289208431278,True,4816.973,4698.915,10.662994701301534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01049,POS,11.0,14.0,1049.0,6.0,495.0,11495.0,4.0,B00,F19,,-280.35748070931845,261.1483682908788,4763.808635961614,4681.117749579627,True,4757.028,4678.3859999999995,7.310231173480173,True,4757.027,4678.365,0.021023796041369423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4752.889,4677.793,11.414570044526297,True,4741.763,4681.3640000000005,11.685029610574823,True,4749.202,4689.372,10.930086230218018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01058,POS,9.0,23.0,1058.0,9.0,303.0,9303.0,8.0,B05,F16,,-180.16566750268643,-257.32544837566013,4133.602130891898,1419.9174427470975,True,4130.491,1416.631,4.525465871760793,True,4130.46,1416.638,0.03178049716405527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4129.589,1416.7820000000002,5.092761606027934,True,4129.4490000000005,1427.5510000000002,8.690206702868203,True,4138.2390000000005,1425.144,9.113602416168927
M01065,POS,10.0,13.0,1065.0,5.0,62.0,10062.0,7.0,B00,F08,,42.392118121451944,161.46099840345144,2733.7136593160676,4054.0841929877092,True,2727.343,4050.0190000000002,7.557188243567796,True,2727.3059999999996,4049.969,0.06220128616063798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2723.817,4049.045,11.105734175896915,True,2717.342,4058.22,11.229703914173063,True,2728.435,4060.6809999999996,8.448793223443873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01073,POS,11.0,14.0,1073.0,6.0,472.0,11472.0,4.0,B07,F12,,-242.35846448781513,289.68338505539975,4524.794823928358,4860.603005028464,True,4519.3,4864.714,6.862460904051987,True,4519.279,4864.710999999999,0.021213203435416356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4515.210999999999,4864.1,10.201894673085201,True,4505.322,4859.899,10.74433441400558,True,4504.055,4869.906,10.086889411507974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01074,POS,11.0,14.0,1074.0,6.0,364.0,11364.0,4.0,B06,F01,,-212.85976624752686,258.9785173801274,4339.248011996944,4667.469387351001,True,4334.278,4662.045,7.356969306954395,True,4334.285,4662.04,0.008602325266786346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4330.234,4661.464,10.831301376871284,True,4337.331,4653.175,10.912145985093515,True,4326.920999999999,4650.371,10.781025739697332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01075,POS,10.0,13.0,1075.0,5.0,144.0,10144.0,7.0,B01,F13,,-17.569891768935022,212.6023788337432,3110.8747015266013,4375.763475894244,True,3117.218,4379.527,7.375740587712357,True,3117.215,4379.505999999999,0.021213203436188086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3113.6290000000004,4378.522,3.898155374354003,True,3124.4109999999996,4374.847,11.391099551842439,True,3116.8309999999997,4366.903,10.980142804171129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01076,POS,11.0,22.0,1076.0,6.0,323.0,11323.0,4.0,B11,F18,,-199.26541071347822,246.99068127960646,4253.739515687778,4592.0658982787245,True,4252.066,4588.992,3.4999293400274425,True,4252.059,4588.987,0.008602325266786346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4248.058,4588.427,6.746940135600532,True,4241.745,4598.378,11.784581876333233,True,4253.791,4598.649,6.5833030392858305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01077,POS,6.0,16.0,1077.0,2.0,520.0,6520.0,6.0,B03,F09,,389.94472200252443,-106.03156100034161,547.6077809041217,2371.555994337851,True,551.05,2363.791,8.49376296884293,True,551.0840000000001,2363.742,0.059640590205035995,,,,,,,,,,,,,,,,,True,551.133,2363.4570000000003,8.832942825496247,True,541.28,2367.155,7.707759877705313,True,547.485,2375.619,4.064860411019225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01078,POS,11.0,14.0,1078.0,6.0,476.0,11476.0,4.0,B01,F03,,-270.1599883185939,259.2706645304797,4699.666408823956,4669.306992926717,True,4694.606,4665.6990000000005,6.21492963957008,True,4694.611,4665.670999999999,0.02844292530781383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4690.485,4665.097,10.100609310117253,True,4682.399,4673.556,11.702054392284559,True,4691.6140000000005,4676.905,9.80469407987846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01080,POS,11.0,14.0,1080.0,6.0,452.0,11452.0,4.0,B07,F19,,-239.1249586526563,280.19068416080233,4504.456072225208,4800.893916401446,True,4500.342000000001,4805.090999999999,5.8771677709137435,True,4500.334,4805.081,0.01280624847477593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4496.268,4804.479,8.938531824289942,True,4493.229,4799.442,5.882762106357963,True,4489.657,4803.763,5.6062665830301075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01081,POS,7.0,23.0,1081.0,8.0,243.0,7243.0,5.0,B14,F05,,-302.14074526104093,-41.20469489346047,4900.825369991948,2779.3169821501333,True,4898.907999999999,2786.71,7.637605685977265,True,4898.912,2786.656,0.0541479454828708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4894.931,2786.083,8.97343831241379,True,4895.307,2797.613,11.536129160164352,True,4905.845,2796.1440000000002,10.63989685100418,,,,,,,,,,,,
M01083,POS,11.0,22.0,1083.0,6.0,304.0,11304.0,4.0,B10,F19,,-195.92274143687675,237.0975511162057,4232.714125937955,4529.838109550934,True,4233.616,4527.77,2.256203434633474,True,4233.611,4527.768,0.005385164807387162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4229.605,4527.217000000001,4.066556205939093,True,4218.103,4527.351,11.502780533418353,True,4221.549,4536.553,9.826073478251807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01084,POS,2.0,13.0,1084.0,7.0,128.0,2128.0,0.0,B09,F24,,-199.1810847348969,84.06446478412752,4253.209105282502,3567.259996522162,True,4255.444,3570.39,3.845994821834854,True,4255.444,3570.367,0.022999999999683496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4251.028,3570.38,3.8067889296725235,True,4261.208,3568.3340000000003,8.070675323169986,True,4255.845,3559.414,8.276931942906895,,,,,,,,,,,,,,,,,,,,,,,,
M01085,POS,11.0,14.0,1085.0,6.0,477.0,11477.0,4.0,B00,F16,,-277.1318687082492,251.68786440617464,4743.519536474888,4621.611180144839,True,4736.981,4617.715,7.611351979410552,True,4736.9929999999995,4617.688,0.02954657340531296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4732.839,4617.141,11.57827145642759,True,4743.414000000001,4617.335,4.277482270991227,True,4740.1990000000005,4607.597,10.254992393951664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01086,POS,8.0,13.0,1086.0,4.0,142.0,8142.0,1.0,B18,F15,,131.29842847748506,171.98921088572052,2174.492967176619,4120.306649501182,True,2174.873,4125.678,5.384777723174952,True,2174.894,4125.637,0.0460651712251503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2174.7929999999997,4125.612,5.313827585687938,True,2167.042,4133.11,10.78415527521697,True,2172.663,4136.569,6.600024393894783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01087,POS,11.0,15.0,1087.0,6.0,359.0,11359.0,4.0,B06,F18,,-178.59212812562112,298.24841854570053,4123.704568210157,4914.477065682457,True,4111.294,4907.196,14.38874979875644,True,4111.274,4907.207,0.022825424420815633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4107.304,4906.529,18.22499343507836,True,4117.398,4910.691,7.355752574770261,True,4117.139,4900.825,9.869399019190567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01088,POS,7.0,15.0,1088.0,8.0,295.0,7295.0,5.0,B03,F20,,-338.8715925001582,-32.755761383929325,5131.862399125996,2832.460773925084,True,5121.904,2845.0609999999997,16.06036768855565,True,5121.9220000000005,2845.033,0.03328663395402778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5117.8820000000005,2844.449,18.416544848190654,True,5131.579000000001,2842.548,13.828290205227988,True,5125.847,2833.1279999999997,6.052290250812381,,,,,,,,,,,,
M01091,POS,11.0,14.0,1091.0,6.0,428.0,11428.0,4.0,B06,F12,,-222.0310917984918,285.90830022524096,4396.935649712514,4836.857721446766,True,4390.423,4842.274,8.470577291078436,True,4390.404,4842.26,0.023600847441940517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4386.362,4841.6359999999995,11.603189827596102,True,4395.589,4846.639,9.87354422607061,True,4397.090999999999,4836.545999999999,0.348287197864304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
